Сфера;Всего;Высокое_качество;Среднее_качество;Низкое_качество;Яндекс;Google;Scholar;eLibrary;Академические;Отраслевые;СМИ;Блоги
IT;482;27;321;134;204;171;97;10;73;15;10;384
BUBBLES;14;1;6;7;4;2;8;0;3;0;0;11
EDUCATION;270;13;136;121;104;108;58;0;44;4;3;219
ENGINEERING;250;4;120;126;89;95;66;0;31;4;6;209
FINANCE;349;11;168;170;178;103;59;9;47;9;5;288
MARKETING;255;3;143;109;95;103;57;0;13;3;3;236
MEDICINE;225;9;114;102;81;90;54;0;47;4;2;172
